mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Model__criterion,param_Model__min_samples_leaf,param_Model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.2519450982411704,0.16234098647692088,0.17514594395955405,0.02445028032797697,entropy,15,100,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 100}",0.8104416535845107,0.7996332149795671,0.8329947695565127,0.8143565460401968,0.013898276107784553,32
2.2340495586395264,0.025428700371276244,0.1835625171661377,0.0054274274703446064,entropy,15,200,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 200}",0.8110894819466247,0.8006527600991491,0.8325105080553021,0.8147509167003587,0.013261060906562276,9
2.7513481775919595,0.03143683911170289,0.2909704049428304,0.0008855034501273864,entropy,15,500,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 500}",0.8114034536891679,0.800767903798486,0.8321436432816578,0.8147716669231038,0.013028632630247207,6
3.5473440488179526,0.047796097412243714,0.48201847076416016,0.021880435948487587,entropy,15,1000,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 1000}",0.8112171637885923,0.8008160548000268,0.832600651971112,0.8148779568532437,0.013231684416044408,2
2.053621292114258,0.009804157785311877,0.14514557520548502,0.0006587580939551084,entropy,20,100,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 100}",0.8092004186289901,0.8018178049842567,0.8326425793738143,0.814553600995687,0.01314113389653818,20
2.2225636641184487,0.001876854863415313,0.1848477522532145,0.002306796250418165,entropy,20,200,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 200}",0.8098545264259551,0.8010882126348228,0.8329905768162427,0.8146444386256736,0.013457281901180097,12
2.68384059270223,0.009128728281201398,0.29301007588704425,0.0010117880068319673,entropy,20,500,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 500}",0.8098377812663528,0.8008432705835065,0.8324098822888168,0.814363644712892,0.013278436745114235,30
3.472666343053182,0.003550061323091091,0.4729317824045817,0.003574594828884473,entropy,20,1000,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 1000}",0.8100533751962322,0.8008579252361492,0.8326761212959759,0.814529140576119,0.013369710964894707,22
2.0641473134358725,0.03068144089879112,0.1504668394724528,0.010258206802525009,entropy,25,100,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 100}",0.8099644165358452,0.8010871658739197,0.8326111338217876,0.8145542387438508,0.01327252776026174,18
2.262071132659912,0.0308403750477778,0.19396416346232095,0.009802123433843252,entropy,25,200,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 200}",0.8098084772370485,0.8010097055670932,0.8329255893420542,0.8145812573820653,0.013459581024155363,15
2.6872848669687905,0.029185122108449858,0.2908026377360026,0.002233021677394301,entropy,25,500,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 500}",0.8099675562532707,0.8007699973202921,0.8325293753865182,0.8144223096533603,0.013342866875352747,26
3.4813431898752847,0.006442917041535661,0.46818963686625165,0.0004789186320793762,entropy,25,1000,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 1000}",0.8096577708006278,0.8008453641053125,0.8326090374516526,0.8143707241191976,0.013388843187532744,28
2.039400577545166,0.00423944979531467,0.1485128402709961,0.004430377477877587,entropy,30,100,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 100}",0.8103840920983778,0.8010526227641188,0.8315388404976782,0.8143251851200582,0.012754124263119808,35
2.20491615931193,0.011707283658133427,0.18350656827290854,0.0044392350834009725,entropy,30,200,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 200}",0.8098335949764521,0.800718706036042,0.831883693384904,0.8141453314657995,0.013083256800936024,42
2.659611384073893,0.009459017848592943,0.2911023298899333,0.0013766948629594222,entropy,30,500,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 500}",0.8099413919413919,0.8005962350103839,0.8323868222173307,0.8143081497230354,0.013340709348538695,39
