mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.8430134455362954,0.010366298906369129,0.3783636887868245,0.0005176684075218278,entropy,15,1000,"{'criterion': 'entropy', 'min_samples_leaf': 15, 'n_estimators': 1000}",0.8125735217163788,0.8050627637837476,0.8300116348542498,0.8158826401181254,0.010450653579903296,46
0.2811034520467122,0.004620534906715252,0.04656839370727539,0.0004422044881973992,entropy,20,100,"{'criterion': 'entropy', 'min_samples_leaf': 20, 'n_estimators': 100}",0.8123150183150183,0.8055945183225028,0.8294676268041885,0.8157923878139032,0.010051547181683506,48
0.5577980677286783,0.004924320736427609,0.08798972765604655,0.0007316077138825751,entropy,20,200,"{'criterion': 'entropy', 'min_samples_leaf': 20, 'n_estimators': 200}",0.8125389848246991,0.8059776328130235,0.831023133444441,0.8165132503607212,0.010603941574801127,29
1.3911353747049968,0.04206647756629195,0.19542908668518066,0.005233220144861198,entropy,20,500,"{'criterion': 'entropy', 'min_samples_leaf': 20, 'n_estimators': 500}",0.8122208267922555,0.8058289927647886,0.8308543756485645,0.8163013984018695,0.010616206027132497,37
2.6508983771006265,0.06726487477357532,0.38973697026570636,0.008043491193612553,entropy,20,1000,"{'criterion': 'entropy', 'min_samples_leaf': 20, 'n_estimators': 1000}",0.8127545787545788,0.8058101510685335,0.8303596322966784,0.816308120706597,0.010332473161391858,35
0.26956526438395184,0.004756313656358693,0.04663666089375814,0.00018931719648043776,entropy,25,100,"{'criterion': 'entropy', 'min_samples_leaf': 25, 'n_estimators': 100}",0.8121203558346415,0.8062508374087225,0.830511619131474,0.8162942707916127,0.010334813560671806,39
0.5398430824279785,0.0032340356747743433,0.0882705847422282,0.0003035338091741723,entropy,25,200,"{'criterion': 'entropy', 'min_samples_leaf': 25, 'n_estimators': 200}",0.8128948194662482,0.8061116182086152,0.8311059400647778,0.8167041259132137,0.010553424182622161,22
1.3296713829040527,0.0020261889383583163,0.21129687627156576,0.008936044704138127,entropy,25,500,"{'criterion': 'entropy', 'min_samples_leaf': 25, 'n_estimators': 500}",0.8131669283097853,0.8060362514235948,0.8314078173642339,0.8168703323658714,0.010683803653881097,10
2.6034863789876304,0.0460636010733299,0.37921802202860516,0.0012125868198311206,entropy,25,1000,"{'criterion': 'entropy', 'min_samples_leaf': 25, 'n_estimators': 1000}",0.8133678702250131,0.8060174097273398,0.8316468035596365,0.8170106945039964,0.01077556134959736,5
0.2652438481648763,0.009311215016722928,0.046460866928100586,0.00012429819486367298,entropy,30,100,"{'criterion': 'entropy', 'min_samples_leaf': 30, 'n_estimators': 100}",0.8126164311878599,0.8066224375293094,0.8313229143737619,0.8168539276969771,0.010519685406716283,12
